,cor_mean,cor_std,all_mean,all_std
0,0.0027068174932816077,0.002809493542802733,0.0006726595669831174,0.001812867829000738
1,0.005341507760215104,0.006483696365841711,0.0013253659451523921,0.003946768080734274
2,0.010936611538176183,0.008602184028621708,0.00271590825665536,0.006338766294225117
3,0.01706193073486971,0.01863145263370348,0.004228766744527913,0.011784885889533706
4,0.010457784830555747,0.008047417374405263,0.0026086692579450127,0.005997577303686575
5,0.027195764785010026,0.021596350232336886,0.006879884717792655,0.015782646285058613
6,0.03156919456514701,0.021742660526626375,0.008602112395604315,0.01710441992353947
7,0.12832863556686788,0.10327468729728645,0.032879005598073247,0.0747942868977663
8,0.2433471293207638,0.1634520909050605,0.06120789105102294,0.13179017776962657
9,0.40008174412104547,0.26090371035871457,0.1002764725855791,0.21446094672347674
10,0.4325143390392162,0.29174377284884834,0.10927748462722991,0.23443065758566567
11,0.7885073084004072,0.2930513564265439,0.1970643538239574,0.3674581134730334
